ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,-6,0,200,10,80,20,800,400,20,12,30
770,200,-12,-6,0,200,10,80,20,800,400,20,12,30
758,194,-12,-6,0,200,10,80,20,800,400,20,12,30
746,188,-12,-6,0,200,10,80,20,800,400,20,12,30
734,182,-12,-6,0,200,10,80,20,800,400,20,12,30
722,176,-12,-6,0,200,10,80,20,800,400,20,12,30
710,170,-12,-6,0,200,10,80,20,800,400,20,12,30
698,164,-12,-6,0,200,10,80,20,800,400,20,12,30
686,158,-12,-6,0,200,10,80,20,800,400,20,12,30
674,152,-12,-6,0,200,10,80,20,800,400,20,12,30
662,146,-12,-6,0,200,10,80,20,800,400,20,12,30
650,140,-12,-6,0,200,10,80,20,800,400,20,12,30
638,134,-12,-6,0,200,10,80,20,800,400,20,12,30
626,128,-12,-6,0,200,10,80,20,800,400,20,12,30
614,122,-12,-6,0,200,10,80,20,800,400,20,12,30
602,116,-12,-6,0,200,10,80,20,800,400,20,12,30
590,110,-12,-6,0,200,10,80,20,800,400,20,12,30
578,104,-12,-6,0,200,10,80,20,800,400,20,12,30
566,98,-12,-6,0,200,10,80,20,800,400,20,12,30
554,92,-12,-6,0,200,10,80,20,800,400,20,12,30
542,86,-12,-6,0,200,10,80,20,800,400,20,12,30
530,80,-12,-6,0,200,10,80,20,800,400,20,12,30
518,74,-12,-6,0,200,10,80,20,800,400,20,12,30
506,68,-12,-6,0,200,10,80,20,800,400,20,12,30
494,62,-12,-6,0,200,10,80,20,800,400,20,12,30
482,56,-12,-6,0,200,10,80,20,800,400,20,12,30
470,50,-12,-6,0,200,10,80,20,800,400,20,12,30
458,44,-12,-6,0,200,10,80,20,800,400,20,12,30
446,38,-12,-6,0,200,10,80,20,800,400,20,12,30
434,32,-12,-6,0,200,10,80,20,800,400,20,12,30
422,38,-12,6,0,200,10,80,20,800,400,20,12,30
410,44,-12,6,0,200,10,80,20,800,400,20,12,30
398,50,-12,6,0,200,10,80,20,800,400,20,12,30
386,56,-12,6,0,200,10,80,20,800,400,20,12,30
374,62,-12,6,0,200,10,80,20,800,400,20,12,30
362,68,-12,6,1,200,10,80,20,800,400,20,12,30
350,74,-12,6,0,220,10,80,20,800,400,20,12,30
338,80,-12,6,0,220,10,80,20,800,400,20,12,30
326,86,-12,6,0,220,10,80,20,800,400,20,12,30
314,92,-12,6,0,220,10,80,20,800,400,20,12,30
302,98,-12,6,0,220,10,80,20,800,400,20,12,30
290,104,-12,6,0,220,10,80,20,800,400,20,12,30
278,110,-12,6,1,220,10,80,20,800,400,20,12,30
266,116,-12,6,0,240,10,80,20,800,400,20,12,30
254,122,-12,6,0,240,10,80,20,800,400,20,12,30
242,128,-12,6,0,240,10,80,20,800,400,20,12,30
230,134,-12,6,0,240,10,80,20,800,400,20,12,30
218,140,-12,6,0,240,10,80,20,800,400,20,12,30
206,146,-12,6,1,240,10,80,20,800,400,20,12,30
194,152,-12,6,0,260,10,80,20,800,400,20,12,30
182,158,-12,6,0,260,10,80,20,800,400,20,12,30
170,164,-12,6,0,260,10,80,20,800,400,20,12,30
158,170,-12,6,0,260,10,80,20,800,400,20,12,30
146,176,-12,6,1,260,10,80,20,800,400,20,12,30
134,182,-12,6,0,280,10,80,20,800,400,20,12,30
122,188,-12,6,0,280,10,80,20,800,400,20,12,30
110,194,-12,6,0,280,10,80,20,800,400,20,12,30
98,200,-12,6,0,280,10,80,20,800,400,20,12,30
86,206,-12,6,0,280,10,80,20,800,400,20,12,30
74,212,-12,6,0,280,10,80,20,800,400,20,12,30
62,218,-12,6,0,280,10,80,20,800,400,20,12,30
50,224,-12,6,0,280,10,80,20,800,400,20,12,30
38,230,-12,6,-1,280,10,80,20,800,400,20,12,30
50,236,12,6,0,260,10,80,20,800,400,20,12,30
62,242,12,6,0,260,10,80,20,800,400,20,12,30
74,248,12,6,0,260,10,80,20,800,400,20,12,30
86,254,12,6,0,260,10,80,20,800,400,20,12,30
98,260,12,6,0,260,10,80,20,800,400,20,12,30
110,266,12,6,0,260,10,80,20,800,400,20,12,30
122,272,12,6,0,260,10,80,20,800,400,20,12,30
134,278,12,6,0,260,10,80,20,800,400,20,12,30
146,284,12,6,0,260,10,80,20,800,400,20,12,30
158,290,12,6,0,260,10,80,20,800,400,20,12,30
170,296,12,6,0,260,10,80,20,800,400,20,12,30
182,302,12,6,1,260,10,80,20,800,400,20,12,30
194,308,12,6,0,280,10,80,20,800,400,20,12,30
206,314,12,6,0,280,10,80,20,800,400,20,12,30
218,320,12,6,0,280,10,80,20,800,400,20,12,30
